Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage,Transfer Fee
Aaron Ramsdale,ENG,Southampton,GK,26-353,26,26,"2,340",0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,N/a,0.0,N/a,N/a,691,64.4,19407,99.5,95.9,38.7,0,32,1,0,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1154,835,1132,25,0,0,0,N/a,N/a,701,2092,0,0,0,2,0,628,0,1,4,0,0,19,5,0,100.0,€18.7M
Aaron Wan-Bissaka,ENG,West Ham,DF,27-157,32,31,"2,794",2,2,1,0,1.2,2.9,98,125,139,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.3,1277,81.1,18273,90.0,82.0,47.4,29,89,30,11,125,83,2.67,7,0.23,61,43,26,7,31,9,22,59,1960,136,620,838,531,40,101,53.5,34.7,933,3303,98,57,12,28,21,1135,139,22,24,4,64,155,22,29,43.1,€26.9M
Abdoulaye Doucouré,MLI,Everton,MF,32-121,30,29,"2,425",3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3,€5.8M
Adam Smith,ENG,Bournemouth,DF,34-003,22,17,"1,409",0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0,€1.5M
Adam Wharton,ENG,Crystal Palace,MF,20-334,19,15,"1,258",0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.00,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4,€48.9M
Adama Traoré,ESP,Fulham,"FW,MF",29-097,32,16,"1,568",2,6,2,0,3.8,4.7,87,61,143,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,30.6,0.63,0.06,14.4,383,72.0,5972,81.2,73.4,55.3,37,32,32,17,61,73,4.19,9,0.52,17,12,13,8,7,0,7,1,725,4,74,258,415,86,88,50.0,37.5,483,2232,87,42,33,32,19,548,143,20,29,1,90,78,24,25,49.0,€8M
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20-305,33,22,"2,056",5,1,2,0,7.0,3.6,134,54,274,0.22,0.04,0.31,0.16,N/a,N/a,N/a,N/a,34.6,1.23,0.06,17.1,600,79.1,8376,89.0,82.9,57.4,30,20,22,3,54,74,3.24,4,0.18,28,18,34,23,19,0,19,13,1078,13,120,340,636,164,85,30.6,60.0,783,3035,134,70,65,61,47,829,274,11,40,10,50,103,3,23,11.5,€60.7M
Alex Iwobi,NGA,Fulham,"FW,MF",28-364,34,32,"2,721",9,6,1,0,4.5,6.5,132,196,221,0.3,0.2,0.15,0.22,N/a,N/a,N/a,N/a,44.3,0.89,0.15,18.3,1037,74.4,17737,85.8,77.5,54.2,53,106,77,16,196,112,3.7,16,0.53,37,21,28,11,25,1,24,11,1693,31,225,678,815,107,86,48.8,45.3,1200,4024,132,99,37,54,38,1321,221,17,16,4,118,124,5,31,13.9,€30.3M
Alex Palmer,ENG,Ipswich Town,GK,28-265,10,10,900,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.50,60.0,0.0,0.0,N/a,0.0,N/a,N/a,207,65.5,6495,95.3,100.0,43.1,1,6,0,0,1,2,0.2,0,0.0,0,0,0,0,0,0,0,0,359,301,353,7,0,0,0,N/a,N/a,157,538,0,0,0,1,0,112,0,1,2,0,0,14,3,0,100.0,€1.6M
Alexander Isak,SWE,Newcastle Utd,FW,25-223,31,31,"2,487",22,6,1,0,19.0,4.0,77,77,196,0.8,0.22,0.69,0.15,N/a,N/a,N/a,N/a,42.5,1.34,0.22,14.5,459,74.0,6537,83.2,77.5,62.2,38,32,26,1,77,85,3.08,14,0.51,12,5,12,7,18,2,16,3,933,20,54,348,545,175,88,47.7,50.0,558,1723,77,40,43,62,50,659,196,25,13,20,15,54,25,48,34.2,€120.3M
Alexis Mac Allister,ARG,Liverpool,MF,26-129,33,30,"2,553",5,4,6,0,2.8,4.4,34,170,78,0.18,0.14,0.1,0.16,N/a,N/a,N/a,N/a,34.2,0.46,0.13,18.1,1245,83.4,19843,90.1,88.3,55.2,43,118,34,2,170,118,4.16,14,0.49,95,58,101,46,60,6,54,22,1827,55,279,944,624,60,42,38.1,50.0,893,1924,34,41,5,31,22,1203,78,60,39,2,84,145,19,34,35.8,€106.1M
Alisson,BRA,Liverpool,GK,32-212,24,24,"2,148",0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.02,0.84,71.8,37.5,N/a,N/a,0.0,N/a,N/a,630,83.1,13996,98.9,98.5,47.8,1,10,0,0,0,6,0.25,1,0.04,1,0,1,1,0,0,0,0,801,577,786,15,0,0,1,100.0,0.0,509,1152,0,0,0,1,0,485,0,0,2,0,0,41,6,0,100.0,€24.1M
Amad Diallo,CIV,Manchester Utd,"FW,MF",22-295,22,17,"1,594",6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,658,82.9,9051,90.4,85.3,52.4,39,25,29,5,53,80,4.52,16,0.9,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,92,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5,€48.5M
Amadou Onana,BEL,Aston Villa,MF,23-259,22,17,"1,348",3,0,4,0,2.1,0.3,20,58,13,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.4,0.18,14.7,589,88.4,9251,94.4,89.9,71.4,7,52,8,1,58,25,1.67,4,0.27,46,24,24,10,14,6,8,24,836,60,227,490,132,20,17,64.7,17.6,459,1237,20,20,1,10,9,563,13,30,23,0,1,64,25,18,58.1,€62.1M
Andreas Pereira,BRA,Fulham,MF,29-121,31,23,"1,879",2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,27,23,1,168,97,12,21,36.4,€19M
Andrew Robertson,SCO,Liverpool,DF,31-052,31,27,"2,308",0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.08,0.00,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,58,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3,€24M
André,BRA,Wolves,MF,23-290,29,27,"2,170",0,0,7,0,0.4,0.7,8,92,11,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,12.5,0.04,0.00,25.8,1074,92.7,16897,95.3,95.2,79.3,14,97,4,0,92,43,1.78,3,0.12,76,46,56,24,40,8,32,32,1402,80,380,905,131,3,26,50.0,34.6,768,1386,8,14,0,27,17,941,11,34,32,0,0,172,2,6,25.0,€29.8M
André Onana,CMR,Manchester Utd,GK,29-030,33,33,"2,970",0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,1.30,69.0,27.3,25.0,N/a,0.0,N/a,N/a,920,73.1,21868,99.1,99.0,36.3,1,24,0,0,1,4,0.12,0,0.0,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,N/a,N/a,932,2615,0,0,0,1,0,810,0,0,2,0,0,33,6,0,100.0,€34.2M
Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23-005,34,27,"2,142",6,9,1,0,4.0,4.7,84,52,177,0.25,0.38,0.17,0.2,N/a,N/a,N/a,N/a,50.0,0.8,0.16,17.2,452,64.8,6511,83.3,63.1,33.6,43,27,24,7,52,87,3.66,14,0.59,18,13,16,12,10,1,9,5,954,29,127,276,567,95,76,30.3,47.4,507,2207,84,42,41,66,37,637,177,8,35,14,151,81,22,33,40.0,€45.5M
Anthony Gordon,ENG,Newcastle Utd,FW,24-067,30,25,"2,200",6,5,2,0,8.0,4.9,109,92,194,0.25,0.2,0.33,0.2,N/a,N/a,N/a,N/a,29.1,0.65,0.09,16.6,661,73.1,10125,86.1,77.7,42.2,50,59,50,16,92,98,4.01,12,0.49,31,17,34,22,24,2,22,6,1165,16,115,439,630,123,96,36.5,46.9,748,2978,109,55,55,28,35,838,194,19,62,8,120,92,5,7,41.7,€49.5M
Antoine Semenyo,GHA,Bournemouth,FW,25-115,33,33,"2,907",9,4,9,0,9.3,5.7,132,106,259,0.28,0.12,0.29,0.18,N/a,N/a,N/a,N/a,31.4,1.15,0.08,17.2,728,73.3,10406,84.9,76.6,37.8,44,48,44,8,106,122,3.78,12,0.37,53,34,42,26,59,8,51,10,1485,44,181,520,817,176,123,52.0,40.7,898,3357,132,64,64,78,71,1032,259,65,36,14,52,147,60,72,45.5,€47.7M
Antonee Robinson,USA,Fulham,DF,27-267,33,32,"2,899",0,10,8,0,0.7,4.1,110,120,257,0.0,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.06,0.00,22.1,1482,76.5,25356,86.5,78.9,56.6,41,109,50,26,120,74,2.3,11,0.34,84,56,86,43,36,6,30,56,2339,121,741,893,739,65,75,44.0,41.3,1252,3937,110,59,29,40,18,1402,257,30,17,6,158,142,45,25,64.3,€46.4M
Archie Gray,ENG,Tottenham,"DF,MF",19-051,24,15,"1,391",0,0,0,0,0.0,0.1,5,32,15,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,100.0,0.06,0.00,24.6,912,88.6,15954,92.6,92.9,60.7,2,37,0,0,32,5,0.32,0,0.0,12,6,16,10,19,10,9,12,1138,134,546,520,82,2,10,50.0,40.0,798,1496,5,5,0,9,10,860,15,9,11,0,12,57,9,8,52.9,€58.2M
Ashley Young,ENG,Everton,"DF,FW",39-297,28,17,"1,613",1,3,6,1,0.3,1.6,20,82,26,0.06,0.17,0.01,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,606,70.0,11151,87.9,76.1,40.4,19,71,18,9,82,37,2.06,6,0.33,50,28,50,19,10,3,7,23,1034,51,314,448,277,9,14,35.7,50.0,409,1210,20,24,1,8,1,528,26,24,17,0,64,61,10,10,50.0,€1.3M
Axel Tuanzebe,COD,Ipswich Town,DF,27-169,18,17,"1,445",0,1,5,1,0.2,0.3,9,45,8,0.0,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.7,535,83.1,8240,91.0,81.8,56.1,4,49,2,0,45,11,0.68,2,0.12,29,17,24,8,18,9,9,21,789,89,343,347,105,6,10,40.0,60.0,338,724,9,6,1,11,1,407,8,12,11,0,6,43,15,16,48.4,€4.2M
Bart Verbruggen,NED,Brighton,GK,22-257,32,32,"2,880",0,1,5,0,0.0,0.0,0,2,0,0.0,0.03,0.0,0.0,1.69,63.3,18.8,0.0,N/a,0.0,N/a,N/a,919,78.0,21660,99.2,98.2,47.2,1,17,1,0,2,5,0.16,1,0.03,0,0,3,3,1,0,1,0,1258,999,1245,13,0,0,2,100.0,0.0,853,1588,0,1,1,2,0,815,0,0,2,0,0,58,10,1,90.9,€30.7M
Ben Davies,WAL,Tottenham,DF,32-008,13,11,"1,036",0,0,3,0,0.3,0.2,13,49,6,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,20.0,0.09,0.00,17.0,745,89.4,13969,93.4,94.7,65.3,2,41,2,0,49,8,0.69,0,0.0,13,9,13,7,23,15,8,11,965,169,502,419,44,12,1,100.0,0.0,558,1633,13,9,0,4,0,653,6,12,5,0,4,34,41,35,53.9,€5.6M
Ben Johnson,ENG,Ipswich Town,"DF,FW",25-098,22,14,"1,348",1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.2,0.14,12.6,296,71.5,4812,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,16,12,3,23,17,290,33,27,6,1,37,57,19,18,51.4,€12.6M
Bernardo Silva,POR,Manchester City,"MF,FW",30-265,29,25,"2,311",3,4,7,0,3.2,4.2,92,109,180,0.12,0.16,0.13,0.17,N/a,N/a,N/a,N/a,35.7,0.39,0.11,12.9,1284,86.9,19677,91.9,88.7,65.3,44,70,30,7,109,79,3.08,8,0.31,49,32,49,26,30,7,23,19,1705,42,298,675,749,127,55,45.5,41.8,1068,3501,92,59,30,21,31,1261,180,25,27,3,50,90,5,10,33.3,€50M
Bernd Leno,GER,Fulham,GK,33-059,34,34,"3,060",0,1,4,0,0.0,0.1,0,0,0,0.0,0.03,0.0,0.0,1.35,68.3,14.7,0.0,N/a,0.0,N/a,N/a,1030,81.2,25014,99.5,98.9,46.7,2,14,2,0,0,5,0.15,2,0.06,2,2,2,0,1,0,1,0,1328,1066,1318,10,0,0,0,N/a,N/a,879,1981,0,0,0,0,0,781,0,0,3,0,0,47,9,0,100.0,€13.7M
Beto,GNB,Everton,FW,27-091,26,11,"1,192",6,0,2,0,6.1,0.8,12,9,62,0.45,0.0,0.46,0.06,N/a,N/a,N/a,N/a,51.4,1.36,0.17,13.6,116,56.6,1593,68.0,48.5,87.5,8,5,3,1,9,17,1.28,0,0.0,13,6,8,3,7,1,6,3,403,21,41,182,185,65,32,53.1,43.8,210,387,12,9,9,53,32,291,62,29,18,14,3,29,74,86,46.3,€24.4M
Bilal El Khannouss,MAR,Leicester City,MF,20-357,29,24,"1,920",2,2,4,0,0.9,3.2,61,118,77,0.09,0.09,0.04,0.15,N/a,N/a,N/a,N/a,26.1,0.28,0.09,22.8,714,75.2,12717,85.8,81.0,57.1,31,81,27,5,118,59,2.77,4,0.19,46,26,28,13,19,4,15,6,1126,16,163,584,391,27,46,58.7,37.0,649,1788,61,38,9,35,34,753,77,27,9,1,78,83,19,19,50.0,€40.6M
Boubacar Kamara,FRA,Aston Villa,MF,25-160,22,16,"1,373",0,0,2,0,0.4,0.9,16,72,5,0.0,0.0,0.02,0.06,N/a,N/a,N/a,N/a,14.3,0.07,0.00,21.1,674,89.2,10544,93.5,91.4,53.1,10,77,8,0,72,24,1.57,2,0.13,46,19,51,25,17,7,10,16,911,88,288,520,109,8,22,36.4,31.8,467,1082,16,11,1,9,11,610,5,23,26,0,1,67,16,21,43.2,€46.3M
Brennan Johnson,WAL,Tottenham,FW,23-344,31,23,"2,083",11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.1,N/a,N/a,N/a,N/a,37.7,0.86,0.21,11.4,438,71.0,5790,80.5,75.7,34.4,19,25,35,6,70,46,1.99,7,0.3,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50.0,527,1410,57,21,32,25,16,609,194,26,25,12,52,60,7,20,25.9,€71.3M
Bruno Fernandes,POR,Manchester Utd,MF,30-236,33,32,"2,758",8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,N/a,N/a,N/a,N/a,30.1,0.82,0.06,21.9,1522,75.2,26743,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9,€54.8M
Bruno Guimarães,BRA,Newcastle Utd,MF,27-167,34,34,"2,912",4,6,6,0,3.8,5.6,53,241,79,0.12,0.19,0.12,0.17,N/a,N/a,N/a,N/a,23.7,0.28,0.11,16.2,1305,82.1,21511,90.7,87.5,56.4,45,158,67,6,241,119,3.68,17,0.53,71,41,61,32,33,9,24,27,1965,74,397,1011,578,71,71,47.9,29.6,1275,3063,53,39,11,51,73,1475,79,54,99,2,24,161,17,16,51.5,€83.2M
Bryan Mbeumo,CMR,Brentford,FW,25-268,34,34,"3,054",18,6,3,0,10.8,8.0,114,126,305,0.53,0.18,0.32,0.23,N/a,N/a,N/a,N/a,43.5,0.88,0.19,17.7,779,66.8,12432,79.2,72.4,37.5,65,54,55,16,126,131,3.86,17,0.5,44,29,30,13,22,3,19,14,1576,50,225,502,876,144,95,46.3,41.1,955,3125,114,62,67,96,38,1072,305,23,42,11,177,138,32,69,31.7,€57.2M
Bukayo Saka,ENG,Arsenal,"FW,MF",23-239,21,17,"1,454",6,10,3,0,5.9,6.7,79,61,222,0.37,0.62,0.36,0.42,N/a,N/a,N/a,N/a,35.2,1.18,0.09,15.9,470,75.1,7266,90.0,72.4,48.2,49,13,32,10,61,100,6.19,22,1.36,23,13,20,10,19,0,19,2,840,6,46,180,621,139,83,44.6,41.0,535,2065,79,27,43,28,37,610,222,13,35,5,109,61,8,19,29.6,€101.3M
Caleb Okoli,ITA,Leicester City,DF,23-293,18,12,"1,124",1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.0,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3,€16.7M
Callum Hudson-Odoi,ENG,Nott'ham Forest,"FW,MF",24-176,29,25,"2,152",5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.1,0.11,N/a,N/a,N/a,N/a,45.9,0.71,0.14,18.3,674,82.2,9918,92.1,81.8,51.2,44,36,31,11,66,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29.0,627,3336,127,61,45,44,23,765,186,12,22,8,75,91,3,10,23.1,€30.2M
Calvin Bassey,NGA,Fulham,DF,25-122,32,31,"2,804",1,0,6,0,1.0,0.1,35,104,13,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.13,0.07,15.3,1759,89.6,30963,94.9,94.0,60.3,2,135,2,0,104,22,0.71,3,0.1,51,32,28,8,37,17,20,18,2245,294,1099,1050,120,18,29,44.8,34.5,1443,4343,35,17,5,32,8,1559,13,24,30,2,6,155,40,31,56.3,€29.9M
Cameron Archer,ENG,Southampton,FW,23-285,31,13,"1,361",2,0,0,0,5.1,0.4,19,14,62,0.13,0.0,0.34,0.02,N/a,N/a,N/a,N/a,33.3,0.6,0.07,13.1,189,81.1,2474,85.6,91.4,55.6,3,6,7,0,14,17,1.13,0,0.0,11,7,9,7,5,1,4,2,360,16,59,161,143,49,31,45.2,51.6,207,499,19,9,14,33,24,253,62,16,12,7,3,34,8,27,22.9,€18.6M
Cameron Burgess,AUS,Ipswich Town,DF,29-193,16,14,"1,361",0,1,0,0,0.7,0.5,2,40,4,0.0,0.07,0.05,0.03,N/a,N/a,N/a,N/a,11.1,0.07,0.00,9.7,542,80.8,9841,90.8,86.5,50.9,6,42,4,0,40,12,0.79,2,0.13,14,9,9,2,18,13,5,13,849,204,510,296,44,21,0,N/a,N/a,391,935,2,4,0,2,0,492,4,4,4,1,0,37,38,19,66.7,€1.7M
Carlos Baleba,CMR,Brighton,MF,21-119,30,27,"2,313",3,1,8,1,3.0,1.3,40,111,26,0.12,0.04,0.12,0.05,N/a,N/a,N/a,N/a,27.5,0.43,0.08,25.1,1018,87.7,17164,92.7,91.7,64.3,20,103,22,2,111,60,2.34,4,0.16,71,41,72,28,43,10,33,40,1506,84,361,891,293,11,51,58.8,35.3,857,2564,40,40,3,36,35,913,26,38,43,0,8,172,38,23,62.3,€52.4M
Carlos Soler,ESP,West Ham,"MF,FW",28-120,28,14,"1,347",1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.47,0.04,19.1,530,85.1,8264,94.4,85.7,53.7,14,41,11,0,52,46,3.08,2,0.13,13,10,22,16,19,6,13,8,738,26,172,384,187,22,18,44.4,50.0,338,714,16,16,4,11,14,502,33,24,17,0,31,63,9,11,45.0,€23.4M
Casemiro,BRA,Manchester Utd,MF,33-068,22,16,"1,335",1,0,3,0,1.7,2.3,4,70,26,0.07,0.0,0.11,0.15,N/a,N/a,N/a,N/a,28.6,0.54,0.04,18.8,670,78.5,11089,86.4,83.7,59.8,20,68,20,6,70,49,3.31,3,0.2,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,50.0,50.0,575,823,4,10,0,10,10,697,26,17,18,3,19,89,31,17,64.6,€11.6M
Chris Richards,USA,Crystal Palace,DF,25-035,20,18,"1,562",1,0,4,1,1.2,0.1,5,34,1,0.06,0.0,0.07,0.01,N/a,N/a,N/a,N/a,50.0,0.29,0.10,11.8,583,81.1,10347,89.2,90.3,44.2,2,20,0,0,34,7,0.4,2,0.12,42,27,38,15,35,13,22,10,935,111,513,371,56,15,6,16.7,83.3,433,850,5,5,0,5,5,525,1,11,4,1,1,48,33,35,48.5,€15.7M
Chris Wood,NZL,Nott'ham Forest,FW,33-146,32,31,"2,599",19,3,1,0,11.4,2.4,13,34,79,0.66,0.1,0.4,0.08,N/a,N/a,N/a,N/a,57.4,1.07,0.30,14.2,279,66.6,3858,71.7,65.7,72.7,18,15,8,1,34,40,1.39,5,0.17,4,4,8,7,11,7,4,5,661,33,80,316,267,85,12,33.3,58.3,325,438,13,10,5,67,24,485,79,22,20,26,1,42,82,122,40.2,€7.8M
Christian Eriksen,DEN,Manchester Utd,MF,33-077,20,11,994,0,1,4,0,0.3,2.6,10,49,29,0.0,0.09,0.03,0.24,N/a,N/a,N/a,N/a,11.1,0.09,0.00,24.8,548,79.5,9150,91.9,80.3,49.1,23,53,8,2,49,45,4.07,6,0.54,19,9,24,13,13,4,9,7,778,24,160,376,246,13,3,0.0,100.0,424,677,10,11,0,11,5,514,29,8,3,0,74,59,2,5,28.6,€4.2M
Christian Nørgaard,DEN,Brentford,MF,31-053,30,30,"2,459",5,2,6,1,3.7,0.8,12,126,34,0.18,0.07,0.14,0.03,N/a,N/a,N/a,N/a,32.4,0.4,0.15,14.6,1012,81.7,16748,87.2,85.9,58.6,16,124,23,3,126,49,1.79,9,0.33,73,45,68,26,48,18,30,43,1571,158,542,751,293,51,12,50.0,33.3,719,1163,12,12,4,30,18,940,34,39,26,1,14,175,42,29,59.2,€14.4M
